Feature,Importance
Latitude,0.266374219892855
Longitude,0.26549404381007563
Votes,0.22546257348489537
Average Cost for two,0.1276294415686575
City,0.05010861867769015
Price range,0.020312968017847814
Has Online delivery,0.0178419957273465
Country Code,0.011079918537313743
Has Table booking,0.007894992652502982
Currency,0.006499434720250409
Is delivering now,0.0013017929105649014
Switch to order menu,0.0
